YEAR,States/Union Territory,Name of the District,Number of Sub Centres,Number of PHCs,Number of CHCs,Number of Sub Divisional Hospitals,Number of District Hospitals,Total Number of HealthCare Units
2017-2018,West Bengal,Medinipur(E),706,53,24,3,2,788
2017-2018,West Bengal,Murshidabad,832,69,27,4,0,932
2017-2018,West Bengal,Nadia,469,47,17,2,1,536
2017-2018,West Bengal,North Twenty Four Parganas,742,52,22,3,2,821
2017-2018,West Bengal,Puruliya,485,52,20,1,1,559
2017-2018,West Bengal,South Twenty Four Parganas,1068,60,30,3,2,1163
2017-2018,West Bengal,Uttar Dinajpur,344,18,9,1,1,373
2017-2018,West Bengal,Alipurduar,236,13,7,0,1,257
2017-2018,West Bengal,Total,10369,909,349,37,22,11686
2017-2018,All India/ Total,Total,155708,25387,5521,1065,773,188454
