YEAR,STATCD,DISTCD,STATNAME,DISTNAME,VILLAGES,TOTPOPULAT,P_URB_POP,P_RUR_POP
2017-2018,27,2712,MAHARASHTRA,GADCHIROLI,1539,1071795,11,89
2017-2018,28,2811,ANDHRA PRADESH,SRIKAKULAM,1521,2699471,16.16,83.84
2017-2018,28,2818,ANDHRA PRADESH,PRAKASAM,957,3392764,19.52,80.48
2017-2018,28,2815,ANDHRA PRADESH,WEST GODAVARI,871,3934782,20.55,79.45
2017-2018,29,2925,KARNATAKA,KODAGU,286,554762,14.62,85.38
2017-2018,29,2907,KARNATAKA,KOPPAL,676,1391292,16.79,83.21
2017-2018,29,2922,KARNATAKA,MANDYA,1355,1808680,17.08,82.92
2017-2018,30,3001,GOA,NORTH GOA,336,817761,60.24,39.76
2017-2018,30,3002,GOA,SOUTH GOA,194,639962,64.63,35.37
2017-2018,31,3101,LAKSHADWEEP,LAKSHADWEEP,10,64429,78.02,21.98
2017-2018,32,3203,KERALA,WAYANAD,50,816558,3.87,96.13
2017-2018,32,3209,KERALA,IDUKKI,69,1107453,4.7,95.3
2017-2018,32,3212,KERALA,PATHANAMTHITTA,64,1195537,11,89
2017-2018,33,3307,TAMIL NADU,VILUPPURAM,1395,3463284,14.72,85.28
2017-2018,33,3316,TAMIL NADU,PERAMBALUR,508,564511,17.14,82.86
2017-2018,33,3305,TAMIL NADU,DHARMAPURI,1012,1502900,17.33,82.67
2017-2018,34,3404,PUDUCHERRY,KARAIKAL,38,200314,49.01,50.99
2017-2018,34,3402,PUDUCHERRY,PONDICHERRY,95,946600,69.13,30.87
2017-2018,34,3401,PUDUCHERRY,YANAM,6,55616,100,0
2017-2018,35,3502,A & N ISLANDS,NICOBARS,42,36819,0,100
2017-2018,35,3503,A & N ISLANDS,MIDDLE AND NORTH ANDAMANS,76,105539,2.6,97.4
2017-2018,35,3501,A & N ISLANDS,ANDAMANS,80,237586,55.89,44.11
2017-2018,36,3607,TELANGANA,MAHBUBNAGAR,1458,4042191,15,85
2017-2018,36,3608,TELANGANA,NALGONDA,1117,3483648,19,81
2017-2018,36,3602,TELANGANA,NIZAMABAD,822,2552073,23.03,76.97
