STATE CODE,DISTRICT CODE,INDIA/STATE/UT/DISTRICT,TRU,P_Persons ,P_Males,P_Females,L_Persons,L_Males,L_Females,PL_Persons,PL_Males,PL_Females
32,1,Kasaragod,Total,1302600,626617,675983,1036289,517031,519258,80,83,77
32,1,Kasaragod,Rural,797424,387324,410100,629108,318764,310344,79,82,76
32,1,Kasaragod,Urban,505176,239293,265883,407181,198267,208914,81,83,79
32,2,Kannur,Total,2525637,1184012,1341625,2156575,1022972,1133603,85,86,84
32,2,Kannur,Rural,882745,426243,456502,742051,365755,376296,84,86,82
32,2,Kannur,Urban,1642892,757769,885123,1414524,657217,757307,86,87,86
32,3,Wayanad,Total,816558,401314,415244,649186,330093,319093,80,82,77
32,3,Wayanad,Rural,784981,385922,399059,623443,317221,306222,79,82,77
32,3,Wayanad,Urban,31577,15392,16185,25743,12872,12871,82,84,80
32,4,Kozhikode,Total,3089543,1473028,1616515,2634493,1276384,1358109,85,87,84
32,4,Kozhikode,Rural,1014765,485654,529111,856904,418093,438811,84,86,83
32,4,Kozhikode,Urban,2074778,987374,1087404,1777589,858291,919298,86,87,85
32,5,Malappuram,Total,4110956,1961014,2149942,3328658,1608229,1720429,81,82,80
32,5,Malappuram,Rural,2294473,1095465,1199008,1841461,891510,949951,80,81,79
32,5,Malappuram,Urban,1816483,865549,950934,1487197,716719,770478,82,83,81
32,6,Palakkad,Total,2810892,1360067,1450825,2232190,1119360,1112830,79,82,77
32,6,Palakkad,Rural,2133699,1031940,1101759,1667718,838755,828963,78,81,75
32,6,Palakkad,Urban,677193,328127,349066,564472,280605,283867,83,86,81
32,7,Thrissur,Total,3110327,1474665,1635662,2689229,1286141,1403088,86,87,86
32,7,Thrissur,Rural,1020537,485875,534662,868776,419581,449195,85,86,84
32,7,Thrissur,Urban,2089790,988790,1101000,1820453,866560,953893,87,88,87
32,8,Ernakulam,Total,3279860,1617602,1662258,2861509,1427572,1433937,87,88,86
32,8,Ernakulam,Rural,1047296,518040,529256,904606,453707,450899,86,88,85
32,8,Ernakulam,Urban,2232564,1099562,1133002,1956903,973865,983038,88,89,87
32,9,Idukki,Total,1107453,551944,555509,928774,474988,453786,84,86,82
32,9,Idukki,Rural,1055428,526420,529008,883688,452640,431048,84,86,81
32,9,Idukki,Urban,52025,25524,26501,45086,22348,22738,87,88,86
32,10,Kottayam,Total,1979384,970140,1009244,1745694,859038,886656,88,89,88
32,10,Kottayam,Rural,1413773,694308,719465,1256168,619658,636510,89,89,88
32,10,Kottayam,Urban,565611,275832,289779,489526,239380,250146,87,87,86
32,11,Alappuzha,Total,2121943,1010252,1111691,1863558,895476,968082,88,89,87
32,11,Alappuzha,Rural,974916,462571,512345,857351,409806,447545,88,89,87
32,11,Alappuzha,Urban,1147027,547681,599346,1006207,485670,520537,88,89,87
32,12,Pathanamthitta,Total,1195537,561620,633917,1070120,503171,566949,90,90,89
32,12,Pathanamthitta,Rural,1064076,499745,564331,951908,447493,504415,89,90,89
32,12,Pathanamthitta,Urban,131461,61875,69586,118212,55678,62534,90,90,90
32,13,Kollam,Total,2629703,1244815,1384888,2242757,1076509,1166248,85,86,84
32,13,Kollam,Rural,1443363,678969,764394,1235606,588941,646665,86,87,85
32,13,Kollam,Urban,1186340,565846,620494,1007151,487568,519583,85,86,84
32,14,Thiruvananthapuram,Total,3307284,1584200,1723084,2795195,1358924,1436271,85,86,83
32,14,Thiruvananthapuram,Rural,1528030,725230,802800,1276939,616503,660436,84,85,82
32,14,Thiruvananthapuram,Urban,1779254,858970,920284,1518256,742421,775835,85,86,84
33,0,TAMIL NADU,Total,72138958,36158871,35980087,52413116,28314595,24098521,73,78,67
33,0,TAMIL NADU,Rural,37189229,18663701,18525528,24752447,13771878,10980569,67,74,59
33,0,TAMIL NADU,Urban,34949729,17495170,17454559,27660669,14542717,13117952,79,83,75
33,1,Thiruvallur,Total,3725697,1878559,1847138,2812839,1506523,1306316,75,80,71
33,1,Thiruvallur,Rural,1292679,647183,645496,864737,478684,386053,67,74,60
33,1,Thiruvallur,Urban,2433018,1231376,1201642,1948102,1027839,920263,80,83,77
33,2,Chennai,Total,4681087,2357633,2323454,3850472,2004498,1845974,82,85,79
33,2,Chennai,Urban,4681087,2357633,2323454,3850472,2004498,1845974,82,85,79
33,3,Kancheepuram,Total,3990897,2010309,1980588,3065799,1634114,1431685,77,81,72
33,3,Kancheepuram,Rural,1453072,730454,722618,1001425,552540,448885,69,76,62
33,3,Kancheepuram,Urban,2537825,1279855,1257970,2064374,1081574,982800,81,85,78
33,4,Vellore,Total,3928106,1959676,1968430,2804762,1522190,1282572,71,78,65
33,4,Vellore,Rural,2234049,1118058,1115991,1507741,838500,669241,67,75,60
33,4,Vellore,Urban,1694057,841618,852439,1297021,683690,613331,77,81,72
33,5,Tiruvannamalai,Total,2468965,1238688,1230277,1653284,926089,727195,67,75,59
33,5,Tiruvannamalai,Rural,1972622,991393,981229,1280341,727212,553129,65,73,56
33,5,Tiruvannamalai,Urban,496343,247295,249048,372943,198877,174066,75,80,70
33,6,Viluppuram,Total,3463284,1744832,1718452,2223605,1248606,974999,64,72,57
33,6,Viluppuram,Rural,2953408,1489868,1463540,1833783,1040790,792993,62,70,54
33,6,Viluppuram,Urban,509876,254964,254912,389822,207816,182006,76,82,71
33,7,Salem,Total,3480008,1780569,1699439,2311715,1300874,1010841,66,73,59
33,7,Salem,Rural,1703687,880937,822750,1019440,596530,422910,60,68,51
33,7,Salem,Urban,1776321,899632,876689,1292275,704344,587931,73,78,67
33,8,Namakkal,Total,1721179,866740,854439,1184344,659232,525112,69,76,61
33,8,Namakkal,Rural,1028019,519422,508597,678213,384662,293551,66,74,58
33,8,Namakkal,Urban,693160,347318,345842,506131,274570,231561,73,79,67
33,9,Erode,Total,2259608,1134191,1125417,1516380,841728,674652,67,74,60
33,9,Erode,Rural,1102215,557133,545082,671066,384644,286422,61,69,53
33,9,Erode,Urban,1157393,577058,580335,845314,457084,388230,73,79,67
33,10,The Nilgiris,Total,735071,360170,374901,576799,303249,273550,78,84,73
33,10,The Nilgiris,Rural,299061,145518,153543,224620,119873,104747,75,82,68
33,10,The Nilgiris,Urban,436010,214652,221358,352179,183376,168803,81,85,76
33,11,Dindigul,Total,2161367,1081934,1079433,1507310,831243,676067,70,77,63
33,11,Dindigul,Rural,1353808,679755,674053,887063,502100,384963,66,74,57
33,11,Dindigul,Urban,807559,402179,405380,620247,329143,291104,77,82,72
33,12,Karur,Total,1076588,534392,542196,741610,410315,331295,69,77,61
33,12,Karur,Rural,642415,318817,323598,405300,230955,174345,63,72,54
33,12,Karur,Urban,434173,215575,218598,336310,179360,156950,77,83,72
33,13,Tiruchirappalli,Total,2713858,1347863,1365995,2055742,1096125,959617,76,81,70
33,13,Tiruchirappalli,Rural,1377009,684825,692184,959049,528940,430109,70,77,62
33,13,Tiruchirappalli,Urban,1336849,663038,673811,1096693,567185,529508,82,86,79
33,14,Perambalur,Total,564511,281436,283075,379797,210313,169484,67,75,60
33,14,Perambalur,Rural,467726,233390,234336,305376,171235,134141,65,73,57
33,14,Perambalur,Urban,96785,48046,48739,74421,39078,35343,77,81,73
33,15,Ariyalur,Total,752481,373319,379162,486446,273058,213388,65,73,56
33,15,Ariyalur,Rural,668776,331962,336814,424873,240410,184463,64,72,55
33,15,Ariyalur,Urban,83705,41357,42348,61573,32648,28925,74,79,68
33,16,Cuddalore,Total,2600880,1311151,1289729,1849805,1019160,830645,71,78,64
33,16,Cuddalore,Rural,1718249,869252,848997,1152917,649803,503114,67,75,59
33,16,Cuddalore,Urban,882631,441899,440732,696888,369357,327531,79,84,74
33,17,Nagapattinam,Total,1614069,797214,816855,1227311,649255,578056,76,81,71
33,17,Nagapattinam,Rural,1250291,618594,631697,933411,498096,435315,75,81,69
33,17,Nagapattinam,Urban,363778,178620,185158,293900,151159,142741,81,85,77
33,18,Thiruvarur,Total,1268094,627616,640478,960036,510137,449899,76,81,70
33,18,Thiruvarur,Rural,1009411,500543,508868,748568,401896,346672,74,80,68
33,18,Thiruvarur,Urban,258683,127073,131610,211468,108241,103227,82,85,78
33,19,Thanjavur,Total,2402781,1183112,1219669,1802291,951803,850488,75,80,70
33,19,Thanjavur,Rural,1552325,765784,786541,1111132,597444,513688,72,78,65
33,19,Thanjavur,Urban,850456,417328,433128,691159,354359,336800,81,85,78
33,20,Pudukkottai,Total,1618725,803337,815388,1126580,617621,508959,70,77,62
33,20,Pudukkottai,Rural,1304800,646800,658000,874434,485516,388918,67,75,59
33,20,Pudukkottai,Urban,313925,156537,157388,252146,132105,120041,80,84,76
33,21,Sivaganga,Total,1341250,670597,670653,976384,536523,439861,73,80,66
33,21,Sivaganga,Rural,925619,462693,462926,638629,359371,279258,69,78,60
33,21,Sivaganga,Urban,415631,207904,207727,337755,177152,160603,81,85,77
33,22,Madurai,Total,3041038,1528308,1512730,2248749,1194631,1054118,74,78,70
33,22,Madurai,Rural,1196829,604021,592808,758300,416650,341650,63,69,58
33,22,Madurai,Urban,1844209,924287,919922,1490449,777981,712468,81,84,77
33,23,Theni,Total,1243684,624922,618762,879259,485247,394012,71,78,64
33,23,Theni,Rural,574196,290287,283909,379770,215547,164223,66,74,58
33,23,Theni,Urban,669488,334635,334853,499489,269700,229789,75,81,69
33,24,Virudhunagar,Total,1943309,967437,975872,1421270,773186,648084,73,80,66
33,24,Virudhunagar,Rural,963581,480534,483047,664994,370911,294083,69,77,61
33,24,Virudhunagar,Urban,979728,486903,492825,756276,402275,354001,77,83,72
33,25,Ramanathapuram,Total,1337560,676574,660986,986038,537697,448341,74,79,68
33,25,Ramanathapuram,Rural,910949,458962,451987,640290,354049,286241,70,77,63
33,25,Ramanathapuram,Urban,426611,217612,208999,345748,183648,162100,81,84,78
33,26,Thoothukkudi,Total,1738376,858919,879457,1356564,706087,650477,78,82,74
33,26,Thoothukkudi,Rural,866570,427030,439540,645950,341204,304746,75,80,69
33,26,Thoothukkudi,Urban,871806,431889,439917,710614,364883,345731,82,84,79
33,27,Tirunelveli ,Total,3072880,1518595,1554285,2298262,1223964,1074298,75,81,69
33,27,Tirunelveli ,Rural,1552235,765687,786548,1109613,598201,511412,71,78,65
33,27,Tirunelveli ,Urban,1520645,752908,767737,1188649,625763,562886,78,83,73
33,28,Kanniyakumari,Total,1863174,926800,936374,1567580,792385,775195,84,85,83
33,28,Kanniyakumari,Rural,326616,163118,163498,269313,136457,132856,82,84,81
33,28,Kanniyakumari,Urban,1536558,763682,772876,1298267,655928,642339,84,86,83
33,29,Dharmapuri,Total,1502900,772490,730410,867631,475567,392064,58,62,54
33,29,Dharmapuri,Rural,1242519,641575,600944,693480,383581,309899,56,60,52
33,29,Dharmapuri,Urban,260381,130915,129466,174151,91986,82165,67,70,63
33,30,Krishnagiri,Total,1883731,963152,920579,1216436,682852,533584,65,71,58
33,30,Krishnagiri,Rural,1455251,745085,710166,888955,507876,381079,61,68,54
33,30,Krishnagiri,Urban,428480,218067,210413,327481,174976,152505,76,80,72
33,31,Coimbatore,Total,3472578,1735362,1737216,2678637,1418291,1260346,77,82,73
33,31,Coimbatore,Rural,839408,418771,420637,561518,309893,251625,67,74,60
33,31,Coimbatore,Urban,2633170,1316591,1316579,2117119,1108398,1008721,80,84,77
33,32,Tiruppur,Total,2471222,1242974,1228248,1779379,972032,807347,72,78,66
33,32,Tiruppur,Rural,951834,476250,475584,618146,348308,269838,65,73,57
33,32,Tiruppur,Urban,1519388,766724,752664,1161233,623724,537509,76,81,71
34,0,PUDUCHERRY,Total,1244464,610485,633979,966600,502575,464025,78,82,73
34,0,PUDUCHERRY,Rural,394341,194388,199953,284931,152728,132203,72,79,66
34,0,PUDUCHERRY,Urban,850123,416097,434026,681669,349847,331822,80,84,76
34,1,Yanam,Total,55616,27277,28339,39807,20186,19621,72,74,69
34,1,Yanam,Urban,55616,27277,28339,39807,20186,19621,72,74,69
34,2,Puducherry,Total,946600,466143,480457,733075,384551,348524,77,82,73
34,2,Puducherry,Rural,292208,144309,147899,206823,111976,94847,71,78,64
34,2,Puducherry,Urban,654392,321834,332558,526252,272575,253677,80,85,76
34,3,Mahe,Total,41934,19269,22665,36730,16798,19932,88,87,88
34,3,Mahe,Urban,41934,19269,22665,36730,16798,19932,88,87,88
34,4,Karaikal,Total,200314,97796,102518,156988,81040,75948,78,83,74
34,4,Karaikal,Rural,102133,50079,52054,78108,40752,37356,76,81,72
34,4,Karaikal,Urban,98181,47717,50464,78880,40288,38592,80,84,76
35,0,ANDAMAN & NICOBAR ISLANDS,Total,379944,202330,177614,293695,164219,129476,77,81,73
35,0,ANDAMAN & NICOBAR ISLANDS,Rural,244411,130647,113764,183863,103762,80101,75,79,70
35,0,ANDAMAN & NICOBAR ISLANDS,Urban,135533,71683,63850,109832,60457,49375,81,84,77
35,1,Nicobars,Total,36819,20705,16114,25261,15332,9929,69,74,62
35,1,Nicobars,Rural,36819,20705,16114,25261,15332,9929,69,74,62
35,2,North  & Middle Andaman,Total,105539,54821,50718,79108,43414,35694,75,79,70
35,2,North  & Middle Andaman,Rural,102798,53416,49382,77038,42277,34761,75,79,70
35,2,North  & Middle Andaman,Urban,2741,1405,1336,2070,1137,933,76,81,70
35,3,South Andaman,Total,237586,126804,110782,189326,105473,83853,80,83,76
35,3,South Andaman,Rural,104794,56526,48268,81564,46153,35411,78,82,73
35,3,South Andaman,Urban,132792,70278,62514,107762,59320,48442,81,84,77
