STATE CODE,DISTRICT CODE,INDIA/STATE/UT/DISTRICT,TRU,P_Persons ,P_Males,P_Females,L_Persons,L_Males,L_Females,PL_Persons,PL_Males,PL_Females
29,14,Shimoga,Rural,1132286,568041,564245,775428,422170,353258,68,74,63
29,14,Shimoga,Urban,623226,311776,311450,495417,257725,237692,79,83,76
29,15,Udupi,Total,1177908,562896,615012,929623,468933,460690,79,83,75
29,15,Udupi,Rural,843829,399458,444371,647236,326580,320656,77,82,72
29,15,Udupi,Urban,334079,163438,170641,282387,142353,140034,85,87,82
29,16,Chikmagalur,Total,1137753,567483,570270,821670,442110,379560,72,78,67
29,16,Chikmagalur,Rural,898079,448099,449980,630125,342705,287420,70,76,64
29,16,Chikmagalur,Urban,239674,119384,120290,191545,99405,92140,80,83,77
29,17,Tumkur,Total,2681449,1354770,1326679,1805361,1005570,799791,67,74,60
29,17,Tumkur,Rural,2078665,1050056,1028609,1339493,761145,578348,64,72,56
29,17,Tumkur,Urban,602784,304714,298070,465868,244425,221443,77,80,74
29,18,Bangalore,Total,9588910,5025498,4563412,7609962,4146709,3463253,79,83,76
29,18,Bangalore,Rural,868971,464122,404849,608655,352228,256427,70,76,63
29,18,Bangalore,Urban,8719939,4561376,4158563,7001307,3794481,3206826,80,83,77
29,19,Mandya,Total,1808680,909441,899239,1154952,645133,509819,64,71,57
29,19,Mandya,Rural,1499831,755235,744596,922721,522979,399742,62,69,54
29,19,Mandya,Urban,308849,154206,154643,232231,122154,110077,75,79,71
29,20,Hassan,Total,1776221,885807,890414,1229941,673922,556019,69,76,62
29,20,Hassan,Rural,1399214,697310,701904,930847,518819,412028,67,74,59
29,20,Hassan,Urban,377007,188497,188510,299094,155103,143991,79,82,76
29,21,Dakshina Kannada,Total,2083625,1032577,1051048,1666834,866331,800503,80,84,76
29,21,Dakshina Kannada,Rural,1091888,541065,550823,839079,442249,396830,77,82,72
29,21,Dakshina Kannada,Urban,991737,491512,500225,827755,424082,403673,83,86,81
29,22,Kodagu,Total,554762,274725,280037,414305,216413,197892,75,79,71
29,22,Kodagu,Rural,473659,234262,239397,346976,181845,165131,73,78,69
29,22,Kodagu,Urban,81103,40463,40640,67329,34568,32761,83,85,81
29,23,Mysore,Total,2994744,1511206,1483538,1965492,1070649,894843,66,71,60
29,23,Mysore,Rural,1756412,890307,866105,1001558,568283,433275,57,64,50
29,23,Mysore,Urban,1238332,620899,617433,963934,502366,461568,78,81,75
29,24,Chamarajanagar,Total,1020962,513359,507603,566076,315321,250755,55,61,49
29,24,Chamarajanagar,Rural,845669,425680,419989,441521,249199,192322,52,59,46
29,24,Chamarajanagar,Urban,175293,87679,87614,124555,66122,58433,71,75,67
29,25,Gulbarga,Total,2564892,1307061,1257831,1452693,845059,607634,57,65,48
29,25,Gulbarga,Rural,1732298,882029,850269,875080,526797,348283,51,60,41
29,25,Gulbarga,Urban,832594,425032,407562,577613,318262,259351,69,75,64
29,26,Yadgir,Total,1172985,591104,581881,516940,313797,203143,44,53,35
29,26,Yadgir,Rural,952482,479834,472648,378881,236287,142594,40,49,30
29,26,Yadgir,Urban,220503,111270,109233,138059,77510,60549,63,70,55
29,27,Kolar,Total,1540231,779401,760830,1024555,570799,453756,67,73,60
29,27,Kolar,Rural,1056953,536486,520467,654955,376468,278487,62,70,54
29,27,Kolar,Urban,483278,242915,240363,369600,194331,175269,76,80,73
29,28,Chikkballapura,Total,1254377,637504,616873,791692,449291,342401,63,70,56
